morph,TWEW,TRW,TAM,IW,ESL,ETRW,REIW,REELS
Ur,16.747,2.802,60.498,8.649,18.077,1.068,1.936,0.926
Ur,23.688,5.198,67.152,11.981,25.999,1.866,1.977,0.911
Ur,19.008,5.553,74.680,8.860,27.815,0.854,2.145,0.683
Ur,19.593,4.897,53.614,9.752,32.856,1.463,2.009,0.596
Ur,17.360,4.664,54.527,6.133,20.599,1.003,2.831,0.843
Ur,8.987,0.995,83.490,6.917,10.643,0.409,1.299,0.844
Ur,26.605,6.290,93.889,11.534,27.845,2.080,2.307,0.955
Ur,16.208,3.182,56.426,9.878,23.874,0.872,1.641,0.679
Ur,24.791,6.808,57.944,11.790,21.279,1.279,2.103,1.165
Ur,21.246,4.969,75.461,10.407,19.917,1.167024423,2.041,1.067
Ur,26.875,5.197,69.874,16.807,24.501,0.809,1.599,1.097
Ur,20.059,5.186,69.405,11.763,19.318,1.056,1.705,1.038
Us,8.051,2.097,75.549,2.807,5.732,0.595,2.868,1.405
Us,14.406,3.572,79.598,6.499,13.752,0.752,2.217,1.048
Us,13.308,2.720,61.332,6.593,9.765,0.655,2.018,1.363
Us,23.286,7.664,87.215,8.508,26.968,0.869,2.737,0.863
Us,7.889,1.907,74.649,2.878,5.819,0.482,2.741,1.356
Us,9.927,2.665,71.501,4.353,7.806,0.636,2.280,1.272
Us,6.508,1.744,78.632,2.434,4.820,0.455,2.674,1.350
Us,5.633,1.598,56.338,2.268,4.575,0.734,2.483,1.231
Us,16.869,4.426,82.075,5.931,17.988,1.074,2.844,0.938
Us,21.784,6.799,74.163,8.018,20.720,1.182,2.717,1.051
Us,13.024,2.929,79.448,6.225,14.219,1.684,2.092,0.916
Us,15.788,4.417,74.792,5.124,19.192,0.566,3.081,0.823
Us,16.609,3.819,72.367,7.951,17.741,0.930,2.089,0.936
Us,14.772,3.135,60.815,5.442,11.129,0.513,2.714,1.327
Us,15.111,4.396,79.147,4.977,12.860,1.537,3.036,1.175
Us,9.425,2.641,59.634,4.429,8.178,0.884,2.128,1.152
Us,11.479,2.057,85.919,5.757,18.469,0.451,1.994,0.622
Us,11.618,2.675,91.192,4.985,8.522,0.433,2.331,1.363
Us,16.004,3.327,94.910,7.062,12.113,0.808,2.266,1.321
Us,22.777,4.895,68.949,9.904,29.927,2.211,2.300,0.761
Us,23.333,5.253,41.782,10.579,28.119,2.678,2.206,0.830
Us,21.174,5.224,63.853,8.896,28.901,1.946,2.380,0.733
Us,19.713,6.017,59.718,8.896,23.945,1.868,2.216,0.823
Us,11.255,2.849,75.932,4.660,9.888,0.551,2.415,1.138
Us,8.649,2.491,78.761,4.142,10.728,0.869,2.088,0.806
Us,13.134,2.973,89.133,5.963,16.713,0.768,2.203,0.786
Us,6.005,1.382,69.700,3.666,8.064,0.590,1.638,0.745
Us,8.015,1.636,82.622,3.725,8.330,0.724,2.152,0.962
Us,13.866,3.598,73.829,4.400,22.225,1.672,3.151,0.624
Us,9.276,2.923,68.461,3.174,7.227,0.601,2.923,1.283
Us,6.341,1.371,88.477,3.600,6.388,0.491,1.761,0.993
Us,7.305,1.216,77.229,4.351,11.700,0.796,1.679,0.624
Us,16.946,3.840,78.480,7.932,23.899,1.512,2.136,0.709
Us,6.990,1.597,66.366,4.013,9.093,0.663,1.742,0.769
Us,8.755,2.177,84.941,4.280,9.579,0.799,2.045,0.914
Us,6.272,1.561,67.286,2.153,5.696,0.485,2.913,1.101
Us,6.483,1.943,64.716,2.606,6.390,0.591,2.487,1.015
Us,6.818,2.170,82.379,2.095,6.067,0.514,3.255,1.124
Us,6.299,1.712,80.165,2.428,5.814,0.438,2.594,1.083
Us,7.305,1.885,79.943,3.180,9.103,0.451,2.297,0.803
Us,7.284,1.790,73.665,3.049,9.214,0.432,2.389,0.790
Us,15.090,4.084,60.592,6.789,19.804,1.329,2.223,0.762
Us,15.404,4.077,62.432,8.670,23.083,1.925,1.777,0.667
Us,19.210,4.859,58.219,7.864,17.960,1.156,2.443,1.070
Us,15.762,3.737,67.446,7.021,12.148,0.514,2.245,1.297
Us,29.132,8.940,85.104,11.434,31.301,2.023,2.548,0.931
Us,11.282,2.584,68.468,5.141,13.701,0.497,2.194,0.823
Us,6.676,1.910,74.174,2.810,5.932,0.596,2.376,1.125
Us,17.197,3.925,55.912,9.720,22.039,0.793,1.769,0.780
Us,9.216,1.979,51.436,5.079,7.686,0.565,1.815,1.199
Us,7.376,1.506,71.989,3.887,8.541,0.373,1.897,0.864
Us,10.387,2.110,87.201,5.512,7.451,0.764,1.884,1.394
Us,17.190,3.553,85.526,8.942,11.520,0.861,1.922,1.492
Us,21.380,3.629,78.165,12.258,15.988,0.916,1.744,1.337
Us,14.906,3.631,51.635,6.541,14.939,0.870,2.279,0.998
Us,6.387,1.521,72.181,3.046,5.694,0.362,2.097,1.122
Us,5.442,1.193,43.852,2.874,7.039,0.360,1.893,0.773
Us,5.625,1.287,54.694,3.021,4.752,0.413,1.862,1.184
Us,5.136,1.434,80.758,2.588,4.246,0.445,1.984,1.210
Us,5.324,1.685,72.577,2.275,4.546,0.224,2.340,1.171
Us,7.432,2.213,68.089,2.647,6.425,0.390,2.808,1.157
Us,6.174,2.076,71.105,1.999,4.502,0.395,3.088,1.371
Us,7.416,2.113,61.009,3.416,7.775,0.613,2.171,0.954
Us,5.836,1.561,66.703,3.284,5.288,0.336,1.777,1.104
Us,6.711,2.106,79.339,2.776,6.543,0.265,2.417,1.026
Us,4.393,1.011,65.180,2.257,3.514,0.268,1.946,1.250
Us,6.731,1.247,46.287,4.299,7.907,0.362,1.566,0.851
Us,7.168,1.530,66.200,3.130,8.159,0.317,2.290,0.879
Us,5.461,1.437,53.812,2.435,4.432,0.281,2.243,1.232
Us,6.684,1.314,48.193,3.736,4.004,0.239,1.789,1.669
Ut,8.808,1.554,45.374,4.943,5.281,0.338,1.782,1.668
Ut,5.827,1.492,73.995,2.586,3.567,0.350,2.253,1.634
Ut,5.677,1.187,55.658,2.743,3.310,0.278,2.070,1.715
Ut,6.766,1.057,55.298,3.478,3.643,0.228,1.946,1.857
Ut,5.916,1.301,62.524,2.673,3.636,0.239,2.213,1.627
Ut,6.899,1.801,42.818,2.809,3.459,0.320,2.456,1.995
Ut,6.835,1.828,52.234,2.951,3.597,0.300,2.316,1.900
Ut,5.605,1.223,59.962,2.815,4.409,0.270,1.991,1.271
Ut,6.281,1.676,53.928,2.463,4.037,0.252,2.550,1.556
Ut,5.624,1.447,45.479,2.310,3.585,0.364,2.435,1.569
Ut,6.418,1.748,65.197,2.901,4.258,0.452,2.213,1.507
Ut,6.757,1.840,46.677,3.292,4.066,0.316,2.053,1.662
Ut,6.408,1.589,46.756,3.059,5.322,0.450,2.095,1.204
Ut,5.603,1.623,51.309,2.817,4.487,0.338,1.989,1.249
Ut,4.923,1.117,64.960,2.275,3.636,0.299,2.164,1.354
Ut,6.738,1.834,55.440,2.816,3.234,0.248,2.392,2.084
Ut,4.775,1.050,53.906,2.271,2.717,0.193,2.103,1.757
Ut,5.961,1.052,63.476,3.616,3.065,0.256,1.648,1.945
